SEX,AGE,MARST,RACE
2,45,1,1
1,23,6,1
1,17,6,1
2,58,1,1
1,59,1,1
1,32,1,7
2,29,1,1
2,55,4,1
2,28,4,1
1,34,1,1
2,29,1,1
2,29,6,1
1,50,1,1
2,38,1,1
1,31,1,1
2,33,1,1
2,28,2,1
2,57,5,1
1,45,1,1
2,41,1,1
1,43,1,1
2,31,1,1
1,29,1,1
2,37,1,1
2,24,6,1
1,25,4,1
1,31,1,1
2,24,1,1
1,17,6,1
1,30,4,1
2,24,6,1
1,73,1,1
2,18,6,3
2,17,6,3
2,46,5,1
1,17,6,1
1,46,4,1
2,41,4,1
2,24,1,1
1,22,1,1
1,36,1,1
2,24,1,1
1,24,1,1
2,24,1,1
1,37,1,1
1,16,6,1
1,32,1,1
2,26,3,2
1,30,1,3
2,22,1,3
1,23,1,1
2,25,1,1
1,21,1,1
2,36,1,1
1,22,1,1
1,33,1,1
2,34,1,1
2,21,6,1
2,51,5,1
2,29,1,1
2,23,1,1
1,32,1,1
2,21,1,2
2,25,1,1
1,25,1,1
1,29,1,1
2,30,1,1
1,33,1,1
2,32,1,1
1,25,1,2
2,23,1,2
1,24,1,1
2,23,1,1
1,29,1,1
2,26,1,1
1,35,1,1
2,35,1,1
2,26,1,1
1,28,1,1
1,22,1,1
1,36,1,1
2,36,1,1
1,39,1,1
2,56,1,1
2,36,6,1
1,37,1,1
1,28,1,2
2,32,1,2
1,28,1,1
2,28,1,1
1,27,1,2
2,25,1,2
1,24,1,1
2,24,1,1
1,31,1,1
2,30,1,1
1,35,1,1
1,34,1,1
2,34,1,1
1,34,1,1
2,34,1,1
1,26,1,1
2,25,1,1
1,21,1,1
2,19,1,1
1,24,1,2
2,25,1,2
1,29,1,1
2,28,1,1
1,26,1,1
2,21,1,1
1,23,1,1
2,21,1,1
1,22,1,1
1,32,1,1
2,33,1,1
1,28,1,3
2,26,1,3
1,32,1,1
2,24,1,1
1,28,1,1
1,28,1,1
1,24,1,1
2,22,1,1
1,25,1,1
1,31,1,2
2,30,1,2
1,28,1,1
2,28,1,1
1,32,1,1
2,29,1,1
1,25,1,1
2,24,1,1
1,27,1,1
2,26,1,1
1,23,1,1
2,22,1,1
1,38,1,1
2,37,1,1
2,16,6,1
1,36,1,1
2,35,1,1
1,26,1,1
2,25,1,1
1,36,1,2
2,37,1,2
1,24,1,1
2,24,1,1
1,26,1,1
1,26,1,1
1,24,1,2
2,25,1,2
1,33,1,1
1,32,1,1
1,27,1,1
2,23,1,1
1,32,1,2
2,31,1,2
1,30,1,2
2,31,1,2
1,31,1,1
1,23,1,1
2,22,1,1
1,42,1,2
2,41,1,2
1,18,6,2
1,40,1,1
2,40,1,1
2,17,6,1
1,26,1,2
2,24,1,2
1,45,1,1
1,24,6,1
1,23,6,1
2,20,6,1
1,16,6,1
1,23,1,1
2,20,1,1
1,25,1,2
1,31,1,1
2,26,1,1
2,26,1,1
1,23,2,2
1,20,6,1
1,20,6,1
1,34,6,1
1,19,6,2
1,21,6,1
1,22,2,2
1,21,6,1
1,20,6,1
1,28,6,2
1,20,6,1
1,20,2,1
1,27,4,1
1,18,6,1
1,22,6,1
1,20,6,1
1,19,6,1
1,26,2,2
1,23,6,1
1,21,6,1
1,20,6,1
1,28,6,2
2,24,3,1
1,45,3,1
1,21,6,2
1,20,2,1
1,20,6,1
1,20,6,2
1,20,6,1
1,21,6,1
1,24,6,1
1,22,2,1
1,21,6,1
1,22,6,1
1,22,6,2
1,20,6,1
1,30,5,2
1,23,6,1
1,19,6,1
1,24,6,1
1,19,6,1
1,22,6,2
1,28,6,1
1,19,6,1
1,19,2,1
1,20,6,2
1,27,6,1
2,20,6,2
1,23,6,2
1,20,6,1
2,19,6,1
2,26,2,1
2,19,6,3
1,27,6,1
1,24,2,2
1,26,3,1
1,19,6,1
1,27,2,1
1,23,6,1
1,27,6,1
1,22,6,1
1,29,6,2
1,20,6,1
1,21,6,1
1,20,6,1
1,25,2,2
1,24,6,1
2,24,2,1
1,60,1,1
2,58,1,1
1,22,6,1
2,20,6,1
1,23,6,1
1,23,1,1
2,22,1,1
1,25,6,1
2,17,6,1
2,24,4,3
1,25,6,1
2,29,6,1
1,63,2,1
1,32,1,1
2,33,1,1
1,26,1,1
2,26,4,1
1,33,1,1
2,32,1,1
1,32,1,1
2,31,1,1
2,33,1,3
2,31,2,1
1,48,1,1
2,29,1,1
2,57,5,1
1,27,6,1
1,51,1,1
2,33,1,1
2,17,6,1
1,55,1,1
2,57,1,1
1,32,1,1
2,27,1,1
1,53,1,1
2,59,1,1
2,32,1,1
1,20,6,1
2,29,4,2
2,44,3,3
1,24,6,1
1,38,1,3
2,33,1,1
1,27,3,3
1,24,6,3
1,28,1,1
2,29,1,1
1,38,1,1
2,45,4,1
1,36,4,1
1,22,6,6
2,43,1,1
1,20,6,1
1,43,1,1
1,35,6,1
1,54,1,1
2,50,1,1
1,23,6,2
1,34,4,1
2,52,5,1
1,25,6,2
2,43,6,3
2,47,5,1
2,57,4,1
2,24,4,1
2,40,1,1
1,44,1,1
1,61,1,1
2,52,1,1
1,23,6,1
2,29,4,1
1,56,1,1
1,30,6,2
1,59,1,1
1,40,1,1
2,42,1,1
1,43,1,1
2,44,1,1
1,53,1,1
2,45,5,1
1,20,6,1
1,17,6,1
1,27,4,1
2,21,1,1
1,20,1,1
1,28,6,1
1,21,6,1
2,27,4,1
1,42,1,1
2,38,1,1
1,20,6,1
2,17,6,1
2,34,1,1
2,30,4,1
2,25,6,1
1,27,6,1
2,56,5,1
1,42,1,1
2,42,1,1
1,20,6,1
1,17,6,1
1,17,6,1
1,32,1,1
2,28,1,1
2,40,4,1
1,35,4,1
2,33,4,1
1,38,1,1
2,35,1,1
1,36,1,1
2,33,1,1
1,46,1,1
2,47,1,1
2,44,1,1
1,41,1,1
1,53,1,1
2,51,1,1
1,43,1,3
2,34,1,3
2,16,6,3
1,37,1,1
2,35,1,1
1,30,1,2
2,32,1,2
2,29,6,1
1,39,1,1
1,37,1,1
2,35,1,1
1,33,1,1
2,33,1,1
1,32,4,1
2,50,2,1
2,20,6,1
2,32,4,1
1,57,1,1
1,25,1,1
2,26,1,1
1,63,1,1
1,23,4,1
1,50,1,1
1,25,6,1
1,29,6,1
2,32,6,1
2,29,6,1
2,24,6,1
1,49,1,1
2,47,1,1
2,22,6,1
1,38,1,1
2,38,1,1
1,27,1,3
2,29,1,1
1,50,1,1
1,19,6,1
1,42,1,1
2,63,4,1
2,29,3,1
1,51,1,1
2,21,1,1
1,34,4,1
2,63,5,1
2,46,1,1
1,17,6,1
2,32,1,1
1,28,1,1
2,25,1,1
1,32,1,1
2,31,1,1
2,21,1,1
1,52,1,1
2,42,1,1
1,40,1,1
2,38,1,1
1,28,6,1
1,24,1,1
1,32,1,1
2,29,1,7
1,20,1,1
2,18,1,1
1,49,6,1
1,16,1,1
2,40,5,1
2,25,6,1
2,29,6,1
2,23,6,1
1,28,6,3
2,31,6,1
1,26,3,3
1,36,1,1
2,32,1,1
1,37,1,2
2,28,1,2
1,30,1,2
2,23,1,2
1,28,1,1
1,20,6,1
1,26,4,1
2,26,6,1
2,50,5,1
1,44,1,1
2,42,1,1
1,24,1,1
2,23,1,1
2,31,6,1
2,83,3,1
1,47,1,1
1,21,6,1
1,57,6,1
1,29,6,1
1,32,5,1
2,67,5,1
1,72,5,1
2,24,1,1
2,38,4,1
1,52,1,1
2,49,1,1
2,22,4,1
1,29,1,1
2,30,1,1
1,28,1,1
2,29,1,1
2,27,6,1
1,24,6,1
1,35,1,1
2,31,1,1
1,30,6,1
1,26,4,1
2,46,1,1
1,23,6,1
1,18,6,1
2,17,6,1
1,46,1,2
2,55,1,2
2,16,6,3
1,32,1,1
2,23,1,1
1,35,1,2
1,51,1,1
1,25,6,1
1,44,1,2
2,39,1,2
1,45,3,2
1,41,1,1
2,41,1,1
2,18,6,1
1,58,1,1
2,56,1,1
1,37,1,1
2,29,1,1
2,32,4,1
2,28,4,1
1,30,1,1
2,27,1,1
1,24,6,1
1,22,6,1
1,22,6,1
2,26,6,1
2,38,4,1
2,32,6,1
2,24,6,1
1,33,6,1
1,26,6,1
1,26,6,1
1,63,1,1
2,54,1,1
1,38,1,1
2,37,1,1
1,60,1,1
1,18,6,1
1,41,1,2
2,38,1,2
1,34,1,1
2,27,1,1
1,56,2,1
2,55,2,1
2,31,6,1
2,17,6,1
2,20,6,3
1,64,1,1
2,79,4,1
2,26,4,1
1,65,1,1
2,61,1,1
1,26,4,1
2,19,6,1
2,29,4,1
2,27,6,1
2,27,1,3
1,28,1,1
1,20,6,1
2,50,1,2
1,21,1,2
1,27,3,1
1,43,1,1
2,42,1,1
1,50,1,2
2,45,1,2
1,48,1,1
1,38,4,1
1,24,1,1
2,23,1,5
1,18,6,1
2,20,6,1
2,20,6,1
1,51,1,1
2,39,1,1
1,16,6,1
1,41,1,1
2,32,1,1
2,33,1,1
1,33,1,1
1,30,1,1
2,28,1,1
1,32,1,1
2,25,1,1
1,26,1,1
2,30,1,1
1,43,4,1
1,31,1,1
2,26,1,1
2,28,4,1
1,24,1,1
1,37,1,1
1,28,1,1
2,32,1,1
1,45,1,1
2,48,1,1
1,21,1,1
1,36,1,1
2,25,1,1
1,39,3,1
1,26,1,1
2,27,1,1
1,54,1,1
2,42,1,1
1,42,1,1
1,56,1,1
1,23,1,1
2,65,5,1
1,27,6,1
2,28,6,1
1,37,1,1
2,36,1,1
1,46,1,1
2,43,1,1
1,34,3,1
1,38,1,1
2,45,1,1
1,21,1,1
2,29,1,1
1,23,6,1
2,32,4,1
1,23,1,2
2,24,1,2
1,27,1,1
2,30,1,1
1,24,1,1
2,23,1,1
2,56,4,1
1,33,4,1
1,23,6,1
1,38,6,1
1,36,3,1
2,36,3,1
1,22,1,1
2,22,1,1
1,31,3,1
2,20,6,1
2,18,6,1
1,20,6,1
1,42,1,1
2,37,1,1
2,16,6,1
1,29,6,1
1,24,6,1
2,39,4,1
1,19,6,1
2,18,6,1
1,16,6,1
2,54,3,1
1,25,6,1
2,26,6,1
1,33,1,1
2,36,1,1
2,24,4,1
1,45,1,1
1,42,1,1
1,23,1,1
2,24,1,1
1,30,1,1
2,30,1,1
1,23,1,3
2,22,1,1
1,24,6,1
2,30,4,1
1,31,6,1
1,31,6,1
1,27,1,1
2,25,1,1
1,26,4,1
2,25,3,1
1,29,6,1
2,27,4,1
1,23,1,1
2,20,1,3
1,23,1,6
2,22,1,6
1,39,1,1
2,31,1,1
1,49,1,1
2,49,1,1
2,22,2,1
1,26,6,1
1,25,4,1
1,24,6,1
1,32,6,1
1,39,4,1
1,29,1,1
2,25,1,1
1,27,2,1
1,47,1,1
1,36,1,1
2,36,1,1
1,16,6,1
2,30,1,1
1,35,1,1
1,40,1,1
2,35,1,1
1,49,1,2
2,49,1,2
1,46,1,1
2,44,1,1
1,51,1,1
2,48,1,1
1,30,3,1
1,23,6,1
2,26,4,1
1,47,1,1
2,17,6,1
1,38,1,1
2,36,1,1
1,45,1,3
1,36,1,1
2,32,1,1
1,42,1,1
2,42,1,1
1,21,6,1
2,18,6,1
1,17,6,1
1,52,1,1
2,20,6,1
2,50,1,1
2,39,1,1
1,42,1,1
1,17,6,1
1,16,6,1
2,59,5,1
1,53,1,1
2,47,1,1
1,41,1,1
2,33,1,1
1,43,6,1
2,23,3,1
1,26,4,1
1,46,1,1
1,70,1,1
2,27,1,1
1,32,1,1
1,45,4,1
2,37,4,1
1,44,4,1
2,18,3,1
2,55,5,1
1,24,1,1
2,20,1,1
1,31,1,1
2,25,1,1
2,24,6,1
2,26,4,1
1,30,3,1
2,30,4,1
1,38,1,1
2,38,1,1
1,35,1,1
2,30,1,1
1,37,1,1
1,25,1,1
2,28,1,1
1,40,1,1
2,34,1,1
1,44,1,1
2,39,1,1
1,21,6,1
1,60,1,1
1,42,6,1
1,51,1,1
2,47,1,1
1,23,2,1
2,20,6,1
2,26,6,1
2,35,3,1
1,19,1,1
1,62,4,1
2,22,3,1
2,31,3,1
1,28,1,2
2,35,1,2
1,44,1,1
2,44,1,1
2,19,6,1
1,17,6,1
1,41,1,1
2,37,1,1
2,46,4,1
2,17,6,1
1,17,6,1
2,16,6,1
1,31,1,1
2,29,1,1
1,32,6,1
1,39,1,1
1,62,3,1
1,23,6,1
2,48,1,3
1,25,4,1
1,26,6,1
2,21,6,1
1,21,1,2
2,30,6,1
1,46,1,1
2,46,1,2
2,18,6,1
1,17,6,1
1,28,1,1
1,42,1,1
2,40,1,1
1,27,1,2
2,28,1,2
2,23,6,2
1,44,1,1
2,42,1,1
2,45,4,1
2,24,6,1
2,23,6,1
1,20,6,1
1,35,1,3
2,35,1,1
1,45,1,1
1,25,1,1
2,24,1,1
2,26,6,1
1,41,3,1
1,37,4,1
2,25,4,3
1,22,6,1
1,24,1,1
2,23,1,1
2,32,1,1
1,52,1,1
2,16,6,1
1,27,4,1
2,25,4,1
1,32,1,1
2,28,1,1
2,39,4,1
1,47,1,2
2,37,1,2
1,22,6,1
1,33,1,1
2,29,1,1
1,39,1,1
2,38,1,1
2,19,6,1
2,31,1,1
2,47,1,1
1,42,1,1
1,37,1,1
2,32,1,1
1,30,1,1
1,38,1,1
2,30,1,1
2,33,4,1
1,45,1,1
2,44,1,1
2,18,6,1
1,30,1,1
2,30,1,1
2,31,4,1
1,37,1,1
2,32,1,1
1,25,1,1
2,24,1,1
1,29,1,1
2,27,1,1
1,51,1,1
2,53,1,1
1,19,6,1
1,38,1,1
1,31,1,1
2,33,1,1
1,44,1,1
2,43,1,1
1,21,6,1
2,20,6,1
1,19,6,1
1,44,1,1
2,43,1,1
1,19,6,1
1,49,1,1
2,17,6,1
1,35,1,1
2,30,1,1
1,32,4,1
2,26,6,1
1,39,1,1
2,32,1,1
1,56,1,1
2,51,1,1
2,32,1,1
2,34,1,1
1,56,1,2
2,56,1,2
1,25,6,1
1,33,1,1
1,23,1,1
2,22,1,1
1,37,1,1
2,29,1,1
2,38,4,2
2,20,6,2
1,18,6,1
1,57,1,1
1,22,6,1
1,29,1,1
2,25,1,1
2,38,1,1
2,16,6,1
2,29,1,1
1,30,1,1
2,26,1,1
1,34,1,1
2,30,1,1
1,38,1,1
2,36,1,1
1,46,1,1
1,20,6,1
1,18,6,1
1,20,6,1
1,42,1,1
2,33,1,1
2,28,4,1
2,24,6,1
1,25,1,1
2,22,1,1
1,29,4,1
1,22,1,2
2,22,1,2
1,33,1,1
1,24,1,1
2,23,1,1
2,38,1,1
1,46,1,1
1,17,6,1
2,36,4,1
2,38,4,1
2,18,6,1
1,30,1,1
2,31,1,1
2,31,1,1
1,29,1,1
2,25,1,1
1,27,4,1
1,33,1,1
2,33,1,1
1,28,6,1
1,43,1,3
2,43,1,3
